# model split sequences_per_A_rank mtp_nextn microbatches backend
deepseek_v4_pro_fp4 2:6 16 2 1 deepep
deepseek_v4_pro_fp4 2:6 32 2 1 mega
deepseek_v4_pro_fp4 2:6 32 2 1 deepep
deepseek_v4_pro_fp4 2:6 2 2 2 mega
deepseek_v4_pro_fp4 2:6 2 2 2 deepep
deepseek_v4_pro_fp4 2:6 4 2 2 mega
deepseek_v4_pro_fp4 2:6 4 2 2 deepep
deepseek_v4_pro_fp4 2:6 8 2 2 mega
deepseek_v4_pro_fp4 2:6 8 2 2 deepep
deepseek_v4_pro_fp4 2:6 16 2 2 mega
deepseek_v4_pro_fp4 2:6 16 2 2 deepep
deepseek_v4_pro_fp4 2:6 32 2 2 mega
deepseek_v4_pro_fp4 2:6 32 2 2 deepep
deepseek_v4_pro_fp4 2:6 4 2 4 mega
deepseek_v4_pro_fp4 2:6 4 2 4 deepep
deepseek_v4_pro_fp4 2:6 8 2 4 mega
deepseek_v4_pro_fp4 2:6 8 2 4 deepep
deepseek_v4_pro_fp4 2:6 16 2 4 mega
deepseek_v4_pro_fp4 2:6 16 2 4 deepep
deepseek_v4_pro_fp4 2:6 32 2 4 mega
deepseek_v4_pro_fp4 2:6 32 2 4 deepep

